Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh),timestamp
96,0.06,14.11,0.92,0.01,13.20,0.13,0.07,13.20,25.00,77,13.29,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  5:39:0
97,0.11,14.47,1.72,0.01,13.27,0.13,0.13,13.27,25.00,80,13.29,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  5:50:0
98,0.22,14.44,3.21,0.00,13.41,0.00,0.24,13.41,25.00,85,13.44,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.00,0.20,0.63,1.90,2017/2/14  6:1:0
99,0.68,18.25,12.57,0.02,14.79,0.29,0.85,14.79,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  6:12:0
100,0.33,20.75,7.00,0.00,14.29,0.00,0.49,14.29,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  6:23:0
101,0.27,21.50,5.89,0.01,14.38,0.14,0.41,14.38,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  6:34:0
102,0.26,20.97,5.46,0.01,14.38,0.14,0.38,14.38,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  6:45:0
103,0.23,21.48,5.02,0.00,14.37,0.00,0.35,14.37,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  6:56:0
104,0.23,20.55,4.89,0.00,14.39,0.00,0.34,14.39,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  7:7:0
105,0.21,20.88,4.45,0.01,14.37,0.14,0.31,14.37,25.00,100,14.94,13.06,Input,RaisingCharge,Normal,On,Normal,0.00,0.00,0.01,0.01,0.01,0.21,0.64,1.91,2017/2/14  7:18:0
